Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,2
Proceso 1,1,3
Proceso 2,2,4
Proceso 3,3,5
Proceso 4,4,5
Proceso 5,5,6
Proceso 6,6,7
Proceso 7,7,9
Proceso 8,8,9
Proceso 9,9,10
Proceso 10,10,11
Proceso 11,11,12
Proceso 12,12,13
Proceso 13,13,14
Proceso 14,14,15
Proceso 15,15,17
Proceso 16,16,18
Proceso 17,17,19
Proceso 18,18,19
Proceso 19,19,20
Proceso 20,20,21
Proceso 21,21,22
Proceso 22,22,23
Proceso 23,23,24
Proceso 24,24,26
Proceso 25,25,26
Proceso 26,26,27
Proceso 27,27,28
Proceso 28,28,30
Proceso 29,29,30
Proceso 30,30,31
Proceso 31,31,33
Proceso 32,32,33
Proceso 33,33,34
Proceso 34,34,36
Proceso 35,35,37
Proceso 36,36,38
Proceso 37,37,38
Proceso 38,38,39
Proceso 39,39,41
Proceso 40,40,41
Proceso 41,41,42
Proceso 42,42,44
Proceso 43,43,44
Proceso 44,44,45
Proceso 45,45,46
Proceso 46,46,48
Proceso 47,47,49
Proceso 48,48,50
Proceso 49,49,50
Proceso 50,50,51
Proceso 51,51,53
Proceso 52,52,53
Proceso 53,53,54
Proceso 54,54,55
Proceso 55,55,56
Proceso 56,56,57
Proceso 57,57,59
Proceso 58,58,59
Proceso 59,59,61
Proceso 60,60,61
Proceso 61,61,63
Proceso 62,62,64
Proceso 63,63,65
Proceso 64,64,65
Proceso 65,65,66
Proceso 66,66,67
Proceso 67,67,69
Proceso 68,68,70
Proceso 69,69,70
Proceso 70,70,72
Proceso 71,71,73
Proceso 72,72,73
Proceso 73,73,75
Proceso 74,74,76
Proceso 75,75,77
Proceso 76,76,78
Proceso 77,77,78
Proceso 78,78,80
Proceso 79,79,81
Proceso 80,80,82
Proceso 81,81,82
Proceso 82,82,83
Proceso 83,83,85
Proceso 84,84,86
Proceso 85,85,87
Proceso 86,86,88
Proceso 87,87,88
Proceso 88,88,89
Proceso 89,89,90
Proceso 90,90,92
Proceso 91,91,93
Proceso 92,92,93
Proceso 93,93,94
Proceso 94,94,95
Proceso 95,95,96
Proceso 96,96,98
Proceso 97,97,98
Proceso 99,99,100
Proceso 98,98,101
